mean pos,mean neg,Tweet,Clean
1,1,Phil Collins- You Can't Hurry Love,phil collins can't hurry love
2,3,i need money! i need new car!!! jesus...somebody please buy my old car :DDD,need money need new car jesus ... somebody please buy old car :d
2,3,In ny wif @DJWALLAH and the Heavy Hitter crew... shout to @freddyphh for looking real gay in the camera...lol...,ny wif @djwalah heavy hitter crew ... shout @fredyph looking real gay camera ... very funny ...
3,1,RT @RockinGreenSoap: I Flip(in) Love @rockingreensoap! Follow them to win a free Flip Camera! RT Please! http://tinyurl.com/yffv2pg #clothdiapers,rt @rockingrensoap flip love @rockingrensoap follow win free flip camera rt please #clothdiapers
1,3,"@ShiedhaO well damn! Renee still aint playin, is she?! and neither is Jack!! @LikasParody",@shiedhao well damn rene still aint playin neither jack @likasparody
1,2,"@heydusti oh, geez, I'd have a lot more songs that way.",@heydusti oh gez i'd lot songs way
1,1,@natuhtack I will have some apple chicken sausage delivered to you.,@natuhtack apple chicken sausage delivered
1,2,@wendywave1 HAHAHAH that was worded weird. I'm reading while a candle is burning in my room,@wendywave hahahah worded weird i'm reading candle burning room
1,1,@KantGitRite you should follow me while ur at it u tickle my dick with ur comments,@kantgitrite follow tickle dick coments
2,2,"RT @importantdate: You can preview the exclusive Tim Burton's #Alice Boutique, opening 2/11. It's a curious collection! http://ow.ly/15uSt",rt @importantdate preview exclusive tim burton's #alice boutique opening curious collection
2,2,@iJuslisen pretty much my g..i need a banger..get it to the bloggers..lets do it.,@ijuslisen pretty much g .. need banger .. get blogers .. lets
2,2,Photo: Chace Crawford?. Oh man I can look at pictures of him all day BUT i have homework to get back to so... http://tumblr.com/xbf6aoc1l,photo chace crawford oh man look pictures day homework get back ...
1,1,Commission Ritual.: P.S. I want to make this perfectly clear: Commission Ritual will get your sites multiple fi.. http://bit.ly/7dqvqj,commission ritual p want make perfectly clear commission ritual get sites multiple fi ..
1,2,On Insurance and Hospitals: I wonder if there is a connection between the hospital system overload and the format... http://bit.ly/d9QIc5,insurance hospitals wonder connection hospital system overload format ...
1,2,Chilling textin (?) ... To much info..foreal you know its los ward yung squad bitch...,chilling textin ... much info .. foreal know los ward yung squad bitch ...
1,1,"Twitter Background - Reviews, News, and How To Geeks: This is my Twitter background for my Personal Twitter. http://bit.ly/bdbijW",twitter background reviews news geks twitter background personal twitter
1,2,Your busy schedule might not leave you a lot of room today for... More for Scorpio http://twittascope.com/twittascope/?sign=8,busy schedule might leave lot room today ... scorpio
1,1,RT @MidieastBozz: RT @Frayz: Check out - www.MidieastMovement.com That's a #BrandName http://myloc.me/3Dy7o,rt @midieastboz rt @frayz check w.midieastmovement.com that's #brandname
2,1,Photo: (via fuckyeahkristinchenoweth) omgomgomgomg MAY 19TH http://tumblr.com/x7269s2mn,photo via fuckyeahkristinchenoweth shocked may th
1,1,Winter Olympics: An Add-On to the Modern Games http://bit.ly/9BP1lc,winter olympics ad-on modern games
1,2,"Heres a new idea,how about i get you a spoon so you can read my ass.",heres new idea get spoon read ass
1,1,Equipped a Gamma Mittens. #epicpetwars http://www.epicpetwars.com,equiped gamma mitens #epicpetwars
2,1,RT @FriendsTVFan: #RetweetTHisIf you want #FriendsTheMovie via @Lisa_Kudrow,rt @friendstvfan #retwethisif want #friendsthemovie via @lisa_kudrow
2,2,@alexabimanyu as for now nope. Use XL for cheaper rate of prepaid and postpaid roaming,@alexabimanyu nope use xl cheaper rate prepaid postpaid roaming
1,1,It's A Bird! It's A Plane! It's Chris Nolan! He'll Mentor Superman 3.0 And Prep 3rd http://bit.ly/dnSFmU,bird plane chris nolan he'l mentor superman prep rd
1,3,Andy is rambling on C&C this morning - shutup and get on with it man,andy rambling see see morning shutup get man
1,3,"@tigerlilybubu lol, where are you? I once forgot the car completely and left home without it.",@tigerlilybubu very funny forgot car completely left home without
1,1,Grow on Twitter with Tweet Automator http://bit.ly/dwxFHu,grow twitter tweet automator
1,2,"@LSal92 and yet they are a minority ... despite the election law being changed to skew things in Aoun's favor, they remain a minority",@lsal yet minority ... despite election law changed skew things aoun's favor remain minority
2,2,count the sheeps and you can sleep :) RT @RaissaArif it's time to sleep actually but i can't sleep..hmmm i'll try,count sheps sleep :) rt @raisarif time sleep actually can't sleep .. hm i'l try
2,1,The Newest Member of _________________! #yehbuddy,newest member #yehbudy
2,1,"@SeaNanners Hey Adam, JPizzle1122 (the microwave dude on utube) seems to have a good live stream for MW2, maybe ask for his help?",@seananers hey adam jpizle microwave dude youtube sems good live stream mw maybe ask help
2,1,Little Caesars Large Cheese or Pepperoni - No Limit - 2/10 for $3.99:,little caesars large cheese pepperoni limit
1,2,oh my goodness I'm emo,oh goodness i'm emo
1,2,@Din_Jee wait wait wait...im confused...are you there?,@din_je wait wait wait ... im confused ...
2,1,RT @Arranwhisky: New #Arran #Malt #Competition just posted on: www.arranwhisky.com/Default.aspx?page=Competition Free bottle and chocolates,rt @aranwhisky new #aran #malt #competition posted w.aranwhisky.com/default.aspx?page=competition free bottle chocolates
1,3,"emm, my lip is starting to hurt :/",lip starting hurt :/
1,3,Finally off work. Gonna go home and try to sleep whatever this is off so I can go to my other job. I hate to miss work,finally work gona go home try sleep whatever go job hate miss work
1,3,"#TED travel off to rocky start thanks to wayward wallet. JUST made my flight, but horridly tense.",#ted travel rocky start thanks wayward wallet made flight horridly tense
3,1,RT 50+ Awesome Twitter Tips to become a Pro http://ow.ly/14LjW via @virtuosoblogger,rt awesome twitter tips become pro via @virtuosobloger
3,1,@JBieberboyyy i was thinking that i wanna make a Cake party in my house :O! lol,@jbieberboy thinking wanna make cake party house very funny
3,1,http://www.youtube.com/watch?v=0TpGvMh6Uow&feature=player_embedded Check it out! In the middle of London! SO COOL!,check middle london cool
1,1,This cares about Internet marketing resources. kitti joined this as a marketer. http://ihid.us?i=noj,cares internet marketing resources kiti joined marketer
3,1,"Mountains, trees, and beautiful cotton-ish blue sky! I will fly! :)",mountains tres beautiful coton-ish blue sky fly :)
4,1,"@justinbieber follow me? please...(: your great and it would make my day. btw, i wanna shampoo your hair ;D lmao. 3",@justinbieber follow please ... (: great would make day btw wanna shampoo hair ;d very funny
2,2,RT @KLM: RT @tiesto Last chance to meet @tiesto in Bangkok w/ @KLM. Tell your friends & increase the chance of winning together- http://tiny.cc/Ei5hB,rt @klm rt @tiesto last chance meet @tiesto bangkok w @klm tell friends increase chance winning together
2,2,Lets trade McNabb to the Broncos and get Brandon Marshall. That team has potential...not w/ Kyle Orton at QB tho.,lets trade mcnab broncos get brandon marshal team potential ... w kyle orton qb though
1,1,"RT @chriscolfer: I hereby name all the Kurt fans as the ""Kurtsies.""",rt @chriscolfer hereby name kurt fans kurtsies
2,2,"I thought about saying ""underwhelming"" instead of disappointing but one must maintain standards, even in the face of snowmageddon",thought saying underwhelming instead disappointing one must maintain standards even face snowmagedon
3,1,@DarrylTalley @J9Talley hi there! Nice to see you back!,@daryltaley @jtaley hi nice see back
1,1,"Topic ""????:iRedAdmin-Pro-1.1.0"" in forum ????? by ZhangHuangbin. http://to.ly/16Uv #iredmail",topic iredadmin-pro .. forum zhanghuangbin #iredmail
1,1,Quick Tip: How to Work with @Font-face:- http://u.nu/2iv35,quick tip work @font face
3,1,RT @katyperry: I ? New York!,rt @katypery new york
2,2,"RT @ayse: The top 10 novels in Modern Library's reader's picks list include four by Ayn Rand and three by L. Ron Hubbard. America, you scare me.",rt @ayse top novels modern library's reader's picks list include four ayn rand three l ron hubard america scare
2,2,RT @Alissa_juknow @PreciousBarbieQ you gotta make ur page private hun... that'll cut them down a lot <,rt @alisa_juknow @preciousbarbieq gota make page private hun ... that'l cut lot
3,1,@Aviemoron My coffin has already been reshaped as it's going with me!!!,@aviemoron coffin already reshaped going
1,1,"RT @ErnieAtNing: Selected OpenSocial Ning Apps are now available on github, via Apache 2.0 license: http://bit.ly/97lwm8",rt @ernieatning selected opensocial ning aps available github via apache license
4,1,I went to hot power yoga and I loved it. MUCH better than Bikram to me. Power Good. Hot Good. Sweat Good. What's not to love? #stinky,went hot power yoga loved much better bikram power good hot good sweat good what's love #stinky
1,2,"@nicko236 Lol, well I considered posting something normal, but since when have I been normal.",@nicko very funny well considered posting something normal since normal
1,1,Google Traffic Pump Pro System.: How To Get Targeted Leads And Massive Traffic To Any Website In 15 Minutes Or Less! http://bit.ly/bGI1aO,gogle traffic pump pro system get targeted leads massive traffic website minutes less
1,1,RT @WLKY Welcome! http://scrbliv.me/11767 We have 4 inches in New Albany and still coming down.,rt @wlky welcome inches new albany still coming
1,4,It saddens my heart 2 C women with black eyes! :(,sadens heart see women black eyes :(
1,1,"?aaaaaaah , e aparece a @gpaaaiva no clipe :B *-* (@replacemusic live on http://twitcam.com/eo3d)",ah e aparece @gpaiva clipe @replacemusic live
1,3,I cant feel my feet.. that cant be good..,cant feel fet .. cant good ..
1,1,RT @katsuhir0: ??????????????RT @ts_tw: ????????????RT @shimay ?????Xperia?????????????30?? http://bit.ly/9i5kzy,rt @katsuhir rt @ts_tw rt @shimay xperia
3,1,"@officialerika i hope so dude hahaha <3. So, which subject do you have right now? xx",@oficialerika hope dude very funny subject right x
1,2,"He's been ranting about this for years RT @eugenelee finally blogged ""Business is Conducted by People, not Users"" http://bit.ly/9Dt24j",he's ranting years rt @eugenele finally bloged business conducted people users
2,2,"Questions galore in my heart i try to sleep. a little hurt, a little lonely,a little confused,a little in love, a little smooth,a li'l rough",questions galore heart try sleep little hurt little lonely little confused little love little smooth li'l rough
2,1,"RT @Local76_493: Happy Birthday to Carole King b.1942, Carmen Miranda 1909,",rt @local_ happy birthday carole king carmen miranda
1,1,:-) RT @lenno212: Keith Hernandez and Daniel Murphy already have begun working out together in Port St. Lucie. #Mets,:-) rt @leno keith hernandez daniel murphy already begun working together port st lucie #mets
2,1,going to get jubby's valentines day gift with some assistance from lee and shane:) finally got my car registered:) work monday-friday 12-4 ?,going get juby's valentines day gift assistance lee shane :) finally got car registered :) work monday-friday
1,2,About to spend the next couple of hours of my life working for the man,spend next couple hours life working man
1,2,RT @BRADPIFF877: I should of threw my self on the floor and screamed (bro u would be gettin a fat check if u had done dat),rt @bradpif threw self floor screamed bro would getin fat check done
2,1,need to find a red all lace see thru dress (like my black one)for my friend brian goins red && black birthday party this weekend;;His GIFT!,need find red lace see trough dress like black one friend brian goins red black birthday party weekend gift
2,1,@jimalkhalili Well deserved. Seems emblematic of a new BBC confidence unashamedly to produce docs that are pitched at more advanced level.,@jimalkhalili well deserved sems emblematic new bc confidence unashamedly produce docs pitched advanced level
1,2,"@Nyamorabu yea, that's y I'm not supposed to use it, they wanna attribute all the results to the mouthwash, without chewing gum to help it.",@nyamorabu yea that's i'm supposed use wanna attribute results mouthwash without chewing gum help
1,1,"RT @remhq: The Helping Haiti charity single for ""Everybody Hurts"" is available for download at http://bit.ly/dihtlL",rt @remhq helping haiti charity single everybody hurts available download
1,3,@Jesse_Son How DARE YOU I am now* your darklordwaffle PIMP now hoe work that corner *pimp slaps*,@jese_son dare darklordwafle pimp hoe work corner pimp slaps
2,2,Well on the bright side if the conservatives win the general elections the scots can stop leeching from the english purse!,well bright side conservatives win general elections scots stop leching english purse
3,1,Learning about water heaters - ah the joys of home ownership - and still being single : ),learning water heaters ah joys home ownership still single
1,1,"Personal Branding Is All About How You Execute The Brand | Jupdi Blogs: Like many people possibly think, personal ... http://bit.ly/93Lbkd",personal branding execute brand jupdi blogs like many people possibly think personal ...
1,1,@MizzChievouz http://twitpic.com/11ww1v - makeupkase,@mizchievouz makeupkase
2,1,2 cans of full fat coke and im bouncing round the place.,cans full fat coke im bouncing round place
1,1,My Business is Free to Join and makes me $12000 a month http://freewage.ws,business free join makes month
1,1,RT @ZachBehrens: And so the rain begins here in Studio City... http://myloc.me/3EJOB,rt @zachbehrens rain begins studio city ...
2,2,Turns out I got the dates mixed up.. Match is tomorrow so off to bed peeps... C ya all at 4... Gnite n sweet dreams,turns got dates mixed .. match 2morrow bed peps ... see ... gnite sweet dreams
1,3,PORN!?! Shit WONT be E Z my G! Trust me i TRIED! RT @overtheFame I think I know what I am giving up for Lent...it won'... http://3.ly/3uC,porn shit wont e z g trust tried rt @overthefame think know giving lent ... ...
2,2,"i wanna be the minority, i dont need your authority, down with the moral majority",wanna minority dont need authority moral majority
5,1,i'm so super duper excitied right now cuz' i'm gonna watch Harry Potter !,i'm super duper excitied right i'm gona watch harry potter
4,1,@planetjedward hey! going to see you in dundrum on friday:) i was talking to ur mam(my teacher) today:) NO SCHOL because im going to you:)x,@planetjedward hey going see dundrum friday :) talking mother teacher today :) schol im going :) x
1,1,"every body check out yung purp on myspace @ rod-kush and yung purp muzik page hit single ""put me in ya research"" http://po.st/hdA",every body check yung purp myspace rod-kush yung purp music page hit single put research
1,1,Leadership and learning are indispensable to each other. -John F. Kennedy,leadership learning indispensable john f kenedy
1,1,[BlogNetNewsHR] Bearing Drift: Randy Forbes: Name that salary cut: Number of comments: 1Congressman Randy Forbes ... http://bit.ly/a1dslk,blognetnewshr bearing drift randy forbes name salary cut number coments congressman randy forbes ...
3,1,"RT @kgarrard: ""I lift my eyes up to You, to You whose throne is in heaven."" Ps. 123:1... <3 // Love it. And the maker of heaven & earth :)",rt @kgarard lift eyes whose throne heaven ps ... love maker heaven earth :)
1,1,YouTube - State of the Union - American IDLE http://bit.ly/b76iOz,youtube state union american idle
2,1,How to Succeed in the Age of Going Solo? A great article for everyone to read in the WSJ. http://tinyurl.com/yzma3sn,succeed age going solo great article everyone read wsj
3,3,"@bnavarro1115 hahah YAYYY!! we miss you so much, even moby! xP haha ya we have to find joe bahah :D",@bnavaro hahah happy miss much even moby xp haha find joe bahah :d
1,1,RT @zdnetkorea ?! ???? 750??? http://tinyurl.com/ydvrwpw,rt @zdnetkorea
3,1,@bfrench4 what disneyworld commercial? he's the saints qb and is sooo cute :),@bfrench disneyworld commercial he's saints qb cute :)
1,3,Las year I was so stressed out I forgot I was my birthday. Didn't figure it out til 730 that night. My bad.,las year stresed forgot birthday figure til night bad
2,2,ah twitter. oh ive missed updating you from my phone. its all over now and dont worry. back in action !,ah twitter oh ive mised updating phone dont worry back action
1,1,Free Guide: Getting Your Law Firm Videos Found On YouTube http://bit.ly/9cizJb,free guide getting law firm videos found youtube
3,1,"@reevesforreal Devote yourself to prayer, being watchful and thankful. Very good verse & a great way 2 start a day! Have a fun day in PC!",@revesforeal devote prayer watchful thankful good verse great way start day fun day computer
1,3,Just back from a walk with the doggies. Got caught in a hail storm - hailstones really sting when they're lashing down on your face!,back walk dogies got caught hail storm hailstones really sting they're lashing face
3,1,to better understand me lol -> RT @whysogreen i'm going back to school@ doing a free 5 week automotive course! :),better understand very funny -> rt @whysogren i'm going back school free wk automotive course :)
1,1,Auto Insert XML-Feed in Joomla EZ-Realty by chadutz: Means we need an RSS-feed-reader component that auto inserts ... http://bit.ly/9E6qxQ,auto insert xml-fed jomla ez-realty chadutz means need rs-fed-reader component auto inserts ...
3,1,"@yourcitylights And Simon Peter answered and said, Thou art the Christ, the Son of the living God. Matthew 16:16 Jesus Loves you",@yourcitylights simon peter answered said thou art christ son living god mathew jesus loves
1,2,Bored with waiting for the iPad to come out so I've made my own out of a journos pad and some spray mount http://yfrog.com/3lg87aj,bored waiting ipad come i've made journos pad spray mount
1,3,So I have come to the conclusions that there's bitches who dnt like me on here bt follow wtf I gotta say!,come conclusions there's bitches dnt like bt follow damn gota say
3,1,Rock onRT @inrockmusic: BillZucker: I LOVE @DaveMalby @D_Old_Man @GlassRiverJewel @susancha @burkepreston (cont) http://tl.gd/7sh8m,rock onrt @inrockmusic bilzucker love @davemalby @d_old_man @glasriverjewel @susancha @burkepreston cont
2,1,RT @diskopo Who wants to laugh? http://bit.ly/aBMOmR,rt @diskopo wants laugh
2,4,"my clothes smell like weed, vomit and chicken. and i didnt smoke. nor vomit. and most unfortunately didn't eat chicken. nice -_-",clothes smell like weed vomit chicken did not smoke vomit unfortunately eat chicken nice
1,2,"It took 2 hours rummaging through my receipt drawer only to learn I?d lost the receipt, isn?t there a better way? http://ow.ly/14Xm2",took hours rumaging receipt drawer learn lost receipt better way
1,3,@debontherocks Conferences have NEVER made me wish to have a child. EVER. What are you drinking @ said cons??,@debontherocks conferences never made wish child ever drinking said cons
2,1,I favorited a YouTube video -- Zooey Deschanel in Weeds http://youtu.be/FApZlnX_G1U?a,favorited youtube video zoey deschanel weds
1,1,@Sjoerd The tweep most like you is @frankmeeuwsen. Others are @erikvisser and @Markies. Full list at http://tweeplike.me/profile/Sjoerd,@sjoerd twep like @frankmeuwsen others @erikviser @markies full list
1,3,@armaghetto ugh... if i have too much of the gogo juice i get a bad stomach ache,@armagheto damn ... much gogo juice get bad stomach ache
1,4,"Urgh i'm soo bored and tired. text. call, anything. hmm i must find things to multi task on now!",damn i'm bored tired text call anything hm must find things multi task
2,1,"Guayadeque - Nice music player | Ubuntu Geek: Music Player with the aims to be intuitive, easy to use and fast eve... http://bit.ly/9NLi0v",guayadeque nice music player ubuntu geek music player aims intuitive easy use fast eve ...
3,2,@Munchkin75 wahooooo! The ho-ness has been a bit too thin on the ground today! x,@munchkin wahoo ho-nes bit thin ground today x
1,3,Headed to human resources class. Now I know why Michael hates Toby so much.,headed human resources class know michael hates toby much
1,1,@mckra1g What do you call a fish with no eyes?,@mckrag call fish eyes
1,1,"listening ""All These Things That I've Done - The Killers""",listening things i've done kilers
1,1,RT @AbilityAmerica: Getting Access to Health Care for People with Physical Disabilities: http://bit.ly/b3eiEJ,rt @abilityamerica getting access health care people physical disabilities
3,2,I love P2P but was worried about ISPs keeping my logs. With YourPrivateVPN I don't have to worry anymore. http://bit.ly/aemTcO,love p worried isps keeping logs yourprivatevpn worry anymore
1,1,Best of Personal Finance Roundup: What You Need to Know About Social Security http://bit.ly/coTke5,best personal finance roundup need know social security
1,1,The @simonhuck starring of E of @jonathancheban ?SPINdustry? it creates special concerning the world of Im Exec PR! Sunday February 21...,@simonhuck starring e @jonathancheban spindustry creates special concerning world im exec pr sunday february ...
3,1,Bab Girls Club was FunnY ass ShyT can't wait Til the reuion shw,bab girls club funny ass shyt can't wait til reuion shw
2,1,RT @fallout: Don't forget to watch the #FalloutNewVegas teaser & RT for a chance to win a signed FNV poster http://bit.ly/fnvcon Must be 18+,rt @falout forget watch #faloutnewvegas teaser rt chance win signed fnv poster must
1,3,my moms a retard for reading my texts and thinking my most recent tweet was inapproprate,moms retard reading texts thinking recent tweet inaproprate
1,1,Playgirl print magazine cover to feature teenage dad of Sarah Palin's grandson - The Canadian Press http://ow.ly/16xuGj,playgirl print magazine cover feature teenage dad sarah palin's grandson canadian press
1,1,@Yung_PHENOM,@yung_phenom
1,1,RT @Twitter_Tips: Inflated tweet count fix should be ready by tomorrow! http://j.mp/aJsnVj,rt @twiter_tips inflated tweet count fix ready 2morrow
1,1,RT @keefstuart: Super Nanny takes on violent videogames: The childcare expert conclusively proves that playing shooters makes kids... http://bit.ly/abVAy4,rt @kefstuart super nanny takes violent videogames childcare expert conclusively proves playing shoters makes kids ...
2,2,RT @demetriab: i #swearfolawd that betta be your navel and not your dick< and i #swearfolawd the pussy better be better than the head...lmao,rt @demetriab #swearfolawd beta navel dick #swearfolawd pussy better better head ... very funny
2,2,N'Gog had a difficult game playing against Vermalen and Gallas. Still think he is better as an impact sub than a starter,n'gog difficult game playing vermalen galas still think better impact sub starter
1,1,Woodstoves MAde Easy at http://bit.ly/4P90rP,wodstoves made easy
1,2,RT @BoomerLivingNow: Retirement: Don't Run Out of Money Before You Run Out of Time http://ow.ly/15RgI #finances #boomer #retirement,rt @bomerlivingnow retirement run money run time #finances #bomer #retirement
1,2,So I missed #BGC again this wk...can some tell me wht happened,mised #bgc wk ... tell wht hapened
1,2,"Everyone says to give up on you, but they don't see you like I do.",everyone says give see like
2,3,"@zanniewee yep, sumtimes beatings or spankings ultimately lead the child 2 b more rebellious...not me tho, my momz hitz were effective lol.",@zaniewe yep sumtimes beatings spankings ultimately lead child rebellious ... though mother hitz effective very funny
1,3,"After these shows I'm callin it a early nite, been up early and already gettin sleepy!!",shows i'm calin early to night early already getin sleepy
1,1,Gamepocalypse Ep.1 records tonight - send us your questions and vote on what Sean will play next! - http://shar.es/aLN9Q,gamepocalypse ep records tonight send us questions vote sean play next
1,1,"@Kurtsiegirl1827 Oh, well the Stadium of Fire thing I was talking about is in Utah...",@kurtsiegirl oh well stadium fire thing talking utah ...
2,1,@pacificbrewnews No beer for me today either. But I am enjoying the 2008 Odonata Grenache.,@pacificbrewnews beer today either enjoying odonata grenache
2,1,Free: Star Bucks Gift Card http://listia.com/1p8s,free star bucks gift card
1,1,Atlanta Nightclub VIP Tables and Bottle Service | My Favorite Sin http://is.gd/7v8ON,atlanta nightclub vip tables bottle service favorite sin
2,2,o_O #thefuck?? RT @b_easy Pull out bruh RT @YNGELROYJETSON: @First_lady22 lol! Let me stop messin wit u before u get preg over twitter.,o_o #thefuck rt @b_easy pull bruh rt @yngelroyjetson @first_lady very funny let stop messin get preg twitter
2,2,"Landed in MIN on time. No turbulence, delays, or bickering so far. Must find AC for puter to watch last Mon's ""24"" or my trip will be ruined",landed min time turbulence delays bickering far must find ac puter watch last mon's trip ruined
2,2,"@sarah_bear44 wait. ""goodnight sweet dreams"" doesn't mean just friends? And sorry bout the 'tide. I didn't feel so well",@sarah_bear wait godnight sweet dreams mean friends sorry tide feel well
3,1,RT @Kelsey_Grammer: So GOOGLE BUZZ is a hot topic Look at the OFFICAL GOOGLE [Video] - http://clicky.me/OfficialMI4 and you will LOVE it GO GOOGLE,rt @kelsey_gramer gogle buzz hot topic look ofical gogle video love go gogle
2,1,@itsonlymichelle guess whats driving on the way to my house =),@itsonlymichele guess whats driving way house =)
2,1,"and Verizon to reduce the fees they charge for their airtime, and now if they're successful w/their high speed effort, they'll create the",verizon reduce fes charge airtime they're successful w high speed effort they'l create
2,1,@ClassCie I got one more song to finish :) then I will send it,@clascie got one song finish :) send
1,1,RT @ganpy: RT+1@eveningdrizzles: This needs an awareness http://beta.thehindu.com/sci-tech/energy-and-environment/article33320.ece,rt @ganpy rt @eveningdrizles needs awareness
1,2,"RT Sorry i've been quiet on the tweetside, i'm just really into @Viewpointr right now (http://viewpointr.com) << its addictive.",rt sorry i've quiet twetside i'm really @viewpointr right adictive
1,2,just watched 10 minutes of house of payne cause I didnt want to get up and look for the remote.,watched minutes house payne did not want get look remote
2,1,"Having English class now, we're doing profiles to ning.com, not so different from my freetime :D",english class we're profiles ning.com different fretime :d
2,1,@shreyaghoshal hey thats a good news. what is the name of that film.,@shreyaghoshal hey thats good news name film
1,3,"I just fell asleep, at the most, three and a half hours ago. Why the bitch am I awake?",fell asleep three half hours ago bitch awake
1,1,#nowplaying Cyborg ? P-Model http://bit.ly/b0Eo5C in iPod app via @twitbird,#nowplaying cyborg p-model ipod ap via @twitbird
2,1,"Thanks again to Ken for this RT @@KenPlume Now on FRED: @The_No_Show interview w/ James Cameron, Emperor of Everything... http://is.gd/83OtB",thanks ken rt @kenplume fred @the_no_show interview w james cameron emperor everything ...
1,1,http://bit.ly/WireUF ESPN names #Gators OC/Asst Head Coach Steve Addazio National #NCAA #Sports http://goo.gl/fb/lhE4,espn names #gators oc ast head coach steve adazio national #nca #sports
1,1,(3) AdilityDeal.com Coupons Deals. | Internet Coupons and Discounts: As a high school student working at a local pizza pub in Jefferso...,adilitydeal.com coupons deals internet coupons discounts high school student working local pizza pub jeferso ...
1,1,"A Photo Editor - Ad Agency Guide To Photography Usage Terms: As with photography, when negotiating with talent the... http://bit.ly/cvfJQU",photo editor ad agency guide photography usage terms photography negotiating talent ...
2,1,"RT @beedle82: I just entered the competition to win a Samsung laptop. To enter, follow @smartaHQ & RT http://bit.ly/b4I200",rt @bedle entered competition win samsung laptop enter follow @smartahq rt
2,1,RT @matisyahu: Cool photo spread and interview in Wanted Magazine. Photos http://bit.ly/d5YFxH Interview http://bit.ly/bHAfUI,rt @matisyahu cool photo spread interview wanted magazine photos interview
1,1,#css Modify web template by jamesallwood: Hi. I have a css static template from templatemonster that I need some m... http://bit.ly/cEShVG,#cs modify web template jamesalwod hi cs static template templatemonster need ...
2,1,Today in History: 1971 Satchel Paige becomes 1st negro-league player elected to Baseball Hall of Fame. (via @TouchByAM) (via @Alyssa_Milano),today history satchel paige becomes st negro-league player elected baseball hall fame via @touchbyam via @alysa_milano
